aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-1028,184,8322,-16,171,-4,-0.03,-20.30,10.18
-1582,178,8046,-20,170,-1,-0.29,-22.68,10.26
-2152,162,7713,-21,169,-1,-0.57,-25.07,10.33
-2663,125,7349,-20,173,-5,-0.89,-27.52,10.45
-3094,119,6997,-17,181,-10,-1.21,-30.07,10.70
-3442,84,6659,-15,186,-14,-1.56,-32.69,11.05
-3715,33,6328,-12,193,-17,-1.92,-35.40,11.53
-3952,-8,6039,-8,199,-18,-2.29,-38.19,12.11
-4210,-64,5817,-5,199,-15,-2.64,-41.00,12.76
-4477,-98,5643,-5,195,-12,-2.98,-43.75,13.44
-4793,-121,5491,-7,189,-9,-3.33,-46.42,14.13
-5175,-143,5338,-10,183,-7,-3.74,-49.02,14.79
-5607,-101,5195,-13,176,-7,-4.20,-51.52,15.46
-6055,-48,5035,-16,170,-8,-4.75,-53.93,16.15
-6462,0,4849,-20,165,-11,-5.45,-56.28,16.87
-6808,24,4625,-24,159,-15,-6.37,-58.55,17.66
-7036,0,4364,-27,152,-20,-7.54,-60.71,18.48
-7172,-82,4077,-28,148,-23,-9.00,-62.76,19.38
-7306,-223,3774,-28,138,-25,-10.74,-64.69,20.36
-7384,-368,3461,-27,124,-25,-12.65,-66.41,21.34
-7376,-493,3183,-25,112,-23,-14.68,-67.93,22.32
